Overall Rank,City,State,Total Score,Emotional and Physical Well-being Rank,Income and Employment Rank,Community and Environment Rank
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,Fremont,California,74.16,1,85,3
2,Overland Park,Kansas,69.78,6,36,6
3,San Jose,California,69.54,2,33,37
4,Madison,Wisconsin,68.99,7,17,9
5,Irvine,California,68.22,4,26,24
6,Honolulu,Hawaii,68.03,19,40,1
7,San Francisco,California,67.01,3,81,30
8,Pearl City,Hawaii,66.9,15,151,2
9,Columbia,Maryland,65.77,5,170,60
10,Scottsdale,Arizona,65.26,27,72,4
11,Sioux Falls,South Dakota,65.06,10,57,47
12,Huntington Beach,California,64.28,13,77,53
13,Minneapolis,Minnesota,63.98,17,22,57
14,Garden Grove,California,63.91,24,52,15
15,San Diego,California,63.75,20,43,19
16,Fargo,North Dakota,63.68,11,20,134
17,Portland,Maine,63.46,43,3,27
18,Seattle,Washington,63.39,8,14,128
19,Lincoln,Nebraska,63.35,21,27,43
20,Bismarck,North Dakota,63.23,12,11,149
21,Gilbert,Arizona,62.99,40,44,7
22,Charleston,South Carolina,62.53,45,15,18
23,South Burlington,Vermont,62.42,16,30,139
24,Glendale,California,62.31,32,92,13
25,Anaheim,California,62.28,26,55,36
26,Oakland,California,62.24,14,104,77
27,Chula Vista,California,61.75,25,87,28
28,Raleigh,North Carolina,61.73,9,126,99
29,Santa Rosa,California,61.48,28,34,50
30,Santa Clarita,California,61.4,23,122,49
31,Boise,Idaho,61.35,34,5,76
32,Oxnard,California,61.31,36,94,16
33,Chandler,Arizona,60.9,50,84,17
34,Oceanside,California,60.5,31,102,41
35,Plano,Texas,60.47,35,93,39
36,Rapid City,South Dakota,60.19,58,19,54
37,Aurora,Illinois,60.04,29,149,33
38,Anchorage,Alaska,59.89,62,78,14
39,Yonkers,New York,59.88,22,147,87
40,Chesapeake,Virginia,59.77,61,103,12
41,Omaha,Nebraska,59.71,42,60,66
42,Virginia Beach,Virginia,59.62,44,106,44
43,Santa Ana,California,59.45,53,13,89
44,St. Paul,Minnesota,59.4,37,110,59
45,Cedar Rapids,Iowa,59.36,60,82,34
46,Tempe,Arizona,59.34,64,32,32
47,Peoria,Arizona,58.86,65,128,8
48,Pembroke Pines,Florida,58.79,48,160,26
49,Juneau,Alaska,58.73,45,56,112
50,"Washington, DC",District of Columbia,58.69,18,117,144
51,Cape Coral,Florida,58.54,70,101,11
52,Fort Lauderdale,Florida,58.51,59,74,68
53,Rancho Cucamonga,California,58.47,67,67,35
54,Burlington,Vermont,58.35,54,4,165
55,Jersey City,New Jersey,58.01,33,167,64
56,Charlotte,North Carolina,57.9,30,134,102
57,Durham,North Carolina,57.88,41,69,109
58,Boston,Massachusetts,57.71,39,7,161
59,Nampa,Idaho,57.62,72,16,86
60,Aurora,Colorado,57.6,38,150,78
61,Long Beach,California,57.59,51,109,92
62,Tampa,Florida,57.49,69,46,63
63,Sacramento,California,57.47,55,21,138
64,Los Angeles,California,57.33,49,86,116
65,Nashua,New Hampshire,57.26,75,68,38
66,Austin,Texas,57.06,47,88,126
67,Portland,Oregon,56.74,57,63,125
68,Riverside,California,56.69,71,38,84
