"","geo_label_city","health_poverty_index","income_eq_educ_index","safety_index","suburb_sprawl_index","bigcity_segregat_index","std_drug_index","total_score","bigcity_score","Overall Rank","State","Total Score","Emotional and Physical Well-being Rank","Income and Employment Rank","Community and Environment Rank"
"1","Las Vegas",0.588235294117647,0.411764705882353,0.852941176470588,0.647058823529412,0.352941176470588,0.382352941176471,-0.282352941176471,-0.147058823529412,152,"Nevada",45.38,135,171,121
"2","Louisville",0.588235294117647,0.323529411764706,0.235294117647059,0.882352941176471,0.308823529411765,0.676470588235294,-0.235294117647059,-0.286764705882353,140,"Kentucky",46.61,143,163,71
"3","San Antonio",0.705882352941177,0.294117647058824,0.852941176470588,0.794117647058823,0.25,0.264705882352941,-0.305882352941176,-0.272058823529412,165,"Texas",42.31,155,130,169
"4","Tucson",0.764705882352941,0.205882352941176,0.794117647058823,0.617647058823529,0.235294117647059,0.205882352941176,-0.311764705882353,-0.191176470588235,139,"Arizona",46.7,147,89,115
"5","Memphis",0.941176470588235,0.0882352941176471,0.529411764705882,0.470588235294118,0.602941176470588,0.823529411764706,-0.441176470588235,0.0661764705882353,170,"Tennessee",39.85,158,181,159
"6","Fort Worth",0.558823529411765,0.264705882352941,0.75,0.823529411764706,0.235294117647059,0.0882352941176471,-0.226470588235294,-0.294117647058823,117,"Texas",49.9,117,144,105
"7","Houston",0.735294117647059,0.441176470588235,0.852941176470588,0.411764705882353,0.588235294117647,0.264705882352941,-0.282352941176471,0.0882352941176471,134,"Texas",47.4,94,168,172
"8","El Paso",0.588235294117647,0.235294117647059,0.838235294117647,0.794117647058823,0.117647058823529,0.0588235294117647,-0.25,-0.338235294117647,142,"Texas",46.43,133,141,131
"9","Detroit",0.970588235294118,0.0294117647058824,0.323529411764706,0.411764705882353,0.75,0.794117647058823,-0.411764705882353,0.169117647058824,182,"Michigan",31.43,180,182,176
"10","Phoenix",0.411764705882353,0.294117647058824,0.926470588235294,0.588235294117647,0.25,0.352941176470588,-0.279411764705882,-0.169117647058824,87,"Arizona",54.14,86,115,69
"11","Dallas",0.617647058823529,0.411764705882353,0.794117647058824,0.617647058823529,0.485294117647059,0.205882352941176,-0.241176470588235,-0.0661764705882353,132,"Texas",48.07,114,138,158
"12","Los Angeles",0.323529411764706,0.617647058823529,0.661764705882353,0.117647058823529,0.75,0.323529411764706,-0.138235294117647,0.316176470588235,64,"California",57.33,49,86,116
"13","Long Beach",0.352941176470588,0.529411764705882,0.808823529411765,0.117647058823529,0.632352941176471,0.352941176470588,-0.197058823529412,0.257352941176471,61,"California",57.59,51,109,92
"14","Cleveland",0.941176470588235,0.117647058823529,0.411764705882353,0.529411764705882,0.691176470588235,0.823529411764706,-0.411764705882353,0.0808823529411765,181,"Ohio",34.83,172,161,182
"15","Oklahoma City",0.588235294117647,0.352941176470588,0.691176470588235,0.911764705882353,0.161764705882353,0.529411764705882,-0.291176470588235,-0.375,141,"Oklahoma",46.56,148,155,61
"16","Indianapolis",0.794117647058823,0.235294117647059,0.441176470588235,0.764705882352941,0.367647058823529,0.823529411764706,-0.364705882352941,-0.198529411764706,144,"Indiana",46.39,136,169,88
"17","Kansas City",0.617647058823529,0.323529411764706,0.558823529411765,0.852941176470588,0.294117647058824,0.705882352941177,-0.311764705882353,-0.279411764705882,128,"Missouri",48.39,125,131,129
"18","Philadelphia",0.764705882352941,0.352941176470588,0.367647058823529,0.294117647058824,0.808823529411765,0.764705882352941,-0.308823529411765,0.257352941176471,161,"Pennsylvania",43.57,156,136,137
"19","Baltimore",0.852941176470588,0.294117647058824,0.191176470588235,0.382352941176471,0.720588235294118,0.970588235294118,-0.344117647058824,0.169117647058824,160,"Maryland",43.78,139,165,163
"20","Milwaukee",0.852941176470588,0.205882352941176,0.294117647058824,0.470588235294118,0.661764705882353,0.705882352941177,-0.329411764705882,0.0955882352941177,108,"Wisconsin",51.55,89,157,101
"21","Austin",0.176470588235294,0.676470588235294,0.632352941176471,0.647058823529412,0.308823529411765,0.352941176470588,-0.0970588235294118,-0.169117647058824,66,"Texas",57.06,47,88,126
"22","Columbus",0.529411764705882,0.411764705882353,0.308823529411765,0.764705882352941,0.382352941176471,0.558823529411765,-0.197058823529412,-0.191176470588235,135,"Ohio",47.4,130,140,136
"23","Charlotte",0.294117647058824,0.5,0.352941176470588,0.676470588235294,0.411764705882353,0.617647058823529,-0.152941176470588,-0.132352941176471,56,"North Carolina",57.9,30,134,102
"24","New York City",0.294117647058824,0.647058823529412,0.235294117647059,0,0.970588235294118,0.470588235294118,-0.0705882352941176,0.485294117647059,86,"New York",54.49,63,174,73
"25","Chicago",0.5,0.617647058823529,0.558823529411765,0.176470588235294,0.823529411764706,0.529411764705882,-0.194117647058824,0.323529411764706,83,"Illinois",54.8,56,179,83
"26","San Diego",0.147058823529412,0.794117647058823,0.588235294117647,0.323529411764706,0.426470588235294,0.294117647058824,-0.0470588235294118,0.0514705882352941,15,"California",63.75,20,43,19
"27","Washington",0.441176470588235,0.882352941176471,0.323529411764706,0.147058823529412,0.794117647058823,0.852941176470588,-0.147058823529412,0.323529411764706,50,"District of Columbia",58.69,18,117,144
"28","San Jose",0.0588235294117647,0.941176470588235,0.279411764705882,0.588235294117647,0.352941176470588,0.0588235294117647,0.108823529411765,-0.117647058823529,3,"California",69.54,2,33,37
"29","Denver",0.176470588235294,0.764705882352941,0.544117647058824,0.588235294117647,0.470588235294118,0.529411764705882,-0.0970588235294118,-0.0588235294117647,73,"Colorado",56.09,52,121,130
"30","Minneapolis",0.323529411764706,0.676470588235294,0.294117647058824,0.470588235294118,0.632352941176471,0.382352941176471,-0.0647058823529412,0.0808823529411765,13,"Minnesota",63.98,17,22,57
"31","Boston",0.176470588235294,0.794117647058823,0.25,0.0588235294117647,0.897058823529412,0.382352941176471,-0.00294117647058825,0.419117647058823,58,"Massachusetts",57.71,39,7,161
"32","Portland",0.294117647058824,0.823529411764706,0.191176470588235,0.382352941176471,0.235294117647059,0.558823529411765,-0.0441176470588236,-0.0735294117647059,67,"Oregon",56.74,57,63,125
"33","Oakland",0.264705882352941,0.823529411764706,0.544117647058824,0.294117647058824,0.676470588235294,0.264705882352941,-0.05,0.191176470588235,26,"California",62.24,14,104,77
"34","San Francisco",0.0588235294117647,0.970588235294118,0.0441176470588235,0.0882352941176471,0.602941176470588,0.764705882352941,0.0205882352941177,0.257352941176471,7,"California",67.01,3,81,30
"35","Seattle",0.0882352941176471,0.911764705882353,0.0441176470588235,0.411764705882353,0.573529411764706,0.176470588235294,0.120588235294118,0.0808823529411765,18,"Washington",63.39,8,14,128
