"ID","geo_fips_code","date_label","COVID-19 Deaths","Uninsured, All Ages","Prenatal Care","Flu Vaccinations, Medicare","Maternal Deaths","Adult Binge Drinking","Drug Overdose Deaths","Adult Mental Distress","Suicide","Housing Lead Risk","Police Killings","Racial Disparity in Police Killings","Violent Crime","Renters vs. Owners","College Graduates","Poverty in All Ages","Excessive Housing Cost","Income Inequality","Racial Segregation, White and Non-White","Limited Supermarket Access","Public Transportation Use","Hazardous Air Quality","Seniors","Minority Population","Foreign Born Population","Homelessness, Non-White","Homelessness, Children","Premature Death","COVID-19 Vaccination, Adults","COVID-19 Vaccination, Seniors","average_std","Cluster"
"Las Vegas",3240000,2021,155.4799158,12.28330714,80.36466797,36,9.383583847,18.3,28.28009188,17.2,17.90196665,1.739740388,1.378445523,8.002667723,468.2434225,0.897288011,24.57079932,15.28025739,30.03772934,0.4862,35.76336785,42.27336291,3.499593714,8.920187793,14.90910924,56.49578668,20.97489969,40.62085936,4.050728753,8233.201728,63.9,77.4,-0.257446785141252,2
"Louisville",2148006,2021,97.4379436,5.41787527,80.52372253,53,35.87290741,16.5,76.55422708,17,16.62305832,24.73755057,0.404668253,0.559108298,981.2218756,0.662777543,29.91984676,15.92473307,22.80156519,0.4754,42.07041151,64.53458852,3.086251418,1.098901099,14.88499328,34.42027226,7.713462503,54.62794918,16.15245009,11936.61141,71,85.5,-0.11773903071143,2
"San Antonio",4865000,2021,215.1270183,16.68159161,80.81435135,39,41.55909114,17.3,19.95748738,16,15.30340993,11.26491186,0.911753531,5.088794952,683.1825091,0.854824986,26.00251872,17.77581341,26.46769047,0.4656,40.18030884,65.83908842,2.917626412,1.465201465,12.04728122,75.31966079,14.31864161,28.47885402,17.22373806,9937.340714,77.9,91.5,0.168091560985083,2
"Tucson",477000,2021,200.6921384,11.47238854,64.20674038,49,21.20949448,16.4,69.47962447,16.7,25.61776157,7.522347641,1.615935525,-1.052184124,698.1585908,0.976366308,27.38777494,22.45229222,29.62290168,0.4578,40.03283762,55.47136849,3.403079191,4.744525547,14.34839939,56.12024038,15.33384305,32.02416918,11.70694864,12885.01218,73.9,86,-0.725032718303232,2
"Memphis",4748000,2021,183.5673199,13.71585296,61.21152143,47,44.47555903,12.7,69.15568127,17.8,11.05359603,16.38875274,0.958688943,0.45511963,2430.540585,1.144937415,26.1760531,25.10929185,31.7412963,0.5202,60.68694581,73.28066357,1.464768357,1.408450704,12.82465042,74.31480584,6.190522938,84.54011742,17.41682975,17193.08183,63.3,82.8,0.941487980253871,3
"Fort Worth",4827000,2021,167.122022,18.34959321,63.88503469,47,32.21545698,17.2,19.36756099,16,11.78774062,11.59817826,0.714775029,0.448602728,558.5201221,0.742219984,29.68493429,14.4865196,25.20756442,0.4575,42.82262233,60.91298181,0.78243238,4.098360656,9.709847084,60.82632568,16.81642633,50.65851364,17.07431797,8221.531578,65.5,82.3,-0.693962995703723,2
"Houston",4835000,2021,161.8353257,23.08835505,58.27182675,45,32.67451318,18.7,27.24676589,15.7,12.9099882,8.782868658,0.919741416,1.807219584,1210.857146,1.364060998,32.88644672,20.05833764,29.89139932,0.5302,57.09957598,42.00952358,3.741419268,4.395604396,10.52339995,75.58707636,29.33351858,57.30348777,16.75427955,10415.14801,73.1,87.4,0.0962336187400841,2
"El Paso",4824000,2021,154.1933728,19.05487369,70.90631365,30,18.29330758,16.5,19.21810601,15.5,12.22198582,8.689487705,0.919370474,2.841912166,247.9784209,0.699224516,25.08361362,19.09399558,25.65887815,0.4643,34.78169993,60.60555071,1.633495741,6.103286385,12.6550978,87.23310675,23.13180242,20.75919336,19.81020166,8654.750187,86.9,95,-0.876006279745758,2
"Detroit",2622000,2021,141.7765395,8.417511941,70.67534789,42,37.37050685,13.9,67.23529856,20.3,10.97896927,56.89398177,0.555686451,0.712585011,2153.603638,1.117091656,15.29825188,35.01924922,33.69133218,0.5112,52.9753617,52.62888756,6.843795199,0.986842105,13.58260687,89.47529863,6.204276267,89.11264947,22.08936438,17079.47425,62.2,80.1,0.177842006064122,3
"Phoenix",455000,2021,137.6993973,14.07449277,73.14850825,48,21.35495153,16.5,44.18447143,15.7,14.34331843,4.311446646,2.143272238,7.295571464,798.4973317,0.837110918,28.62528485,17.96981054,26.38256585,0.4713,49.85064373,49.71560018,2.982632819,48.02631579,10.60968747,57.45249437,19.41241273,38.79229007,16.75427955,8488.724815,64.1,82.4,-0.31606393883181,2
"Dallas",4819000,2021,136.3925314,23.57771079,64.05133203,51,32.19101592,18.5,23.03681589,16.2,10.45846357,10.42489335,1.127300821,-0.052694751,825.0165841,1.447169119,33.37270782,18.93668882,29.13215294,0.5373,54.72488537,50.98624251,3.760091889,3.278688525,10.32750343,71.0338551,24.79783739,57.30348777,16.75427955,8297.658935,69.4,83.9,0.260165078773489,2
"Los Angeles",644000,2021,132.3233922,11.44921647,86.28410185,39,6.17449475,17.7,25.02810831,15.9,8.159318206,30.04953426,0.661719776,1.020562685,721.9440547,1.716110178,34.42146957,17.99011014,41.54880267,0.5276,55.29588596,26.17898332,8.991545488,14.83516484,12.39238546,71.51564835,36.86336255,54.10793332,11.75870405,6687.185439,77,83.3,-0.255738640247507,1
"Long Beach",643000,2021,124.3431522,8.497639126,89.08881682,39,23.1652607,17.7,28.08250274,16.1,9.441613825,33.38791942,1.874560817,3.435853238,506.4259684,1.510013693,31.14013443,16.82957113,36.55890128,0.4685,52.19168339,19.33773672,5.485004292,14.83516484,11.42110991,71.83724099,25.15424958,51.22910521,8.112094395,7181.462757,77,83.3,-0.239570489935103,1
"Cleveland",3916000,2021,118.1505431,7.677314878,72.1527249,52,36.36914684,15.6,80.02535818,19.2,14.51399981,63.89864301,2.271063792,1.447060827,1665.115617,1.405486601,17.5010954,32.65020873,31.50531519,0.5154,50.8512095,46.74524586,9.772588375,1.459854015,13.9775541,66.20371572,5.893345653,73.01492537,14.56716418,14248.54175,71.1,86.6,0.195945944948242,3
"Oklahoma City",4055000,2021,111.4747427,14.60956582,77.56100877,46,32.37424629,13.1,22.38620763,16.8,16.09622338,13.87122635,1.359345774,3.781553332,642.8946207,0.697621562,30.67217964,16.0654381,22.05703034,0.4734,36.08826002,65.52409392,0.545898532,1.967213115,12.37346433,46.49133436,11.83376522,39.09726637,11.31595677,8430.075849,73.9,90.5,0.111205666231676,2
